DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Armenia,2024,35.0,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Austria,2024,45.2,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Azerbaijan,2024,35.6,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Belgium,2024,43.1,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Bulgaria,2024,49.3,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Switzerland,2024,43.9,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Cyprus,2024,41.8,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Czechia,2024,45.3,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Germany,2024,47.3,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Denmark,2024,43.4,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Euro area – 20 countries (2023-2025),2024,46.6,p,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Estonia,2024,45.5,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Greece,2024,48.4,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Spain,2024,46.7,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,European Union - 27 countries (from 2020),2024,46.3,ep,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Finland,2024,45.0,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,France,2024,44.0,p,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Georgia,2024,41.4,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Croatia,2024,47.6,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Hungary,2024,46.4,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Ireland,2024,40.0,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Iceland,2024,37.8,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Italy,2024,50.1,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Liechtenstein,2024,46.2,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Lithuania,2024,47.8,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Luxembourg,2024,40.3,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Latvia,2024,47.9,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Monaco,2024,50.7,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Moldova,2024,43.5,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Montenegro,2024,41.3,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,North Macedonia,2024,42.9,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Malta,2024,41.4,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Netherlands,2024,43.5,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Norway,2024,41.3,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Poland,2024,44.7,ep,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Portugal,2024,48.6,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Romania,2024,45.8,e,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Serbia,2024,46.8,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Sweden,2024,42.0,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Slovenia,2024,46.8,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Slovakia,2024,44.1,,
ESTAT:EQ_POP04(1.0),08/05/26 11:00:00,Annual,Median age of population - females,Türkiye,2024,34.7,,
